TourType,CEP,Depot_ID,Tour_ID,Trip_ID,Unique_ID,O_zone,D_zone,N_parcels,Traveltime,TourDepTime,TripDepTime,TripEndTime,Type,TourDist,VehType,OrigType,DestType
0,PostNL,1,1.0_105,1.0_105_5,1.0_105_5_0,1368,1508,31,0.035,13.834625671897372,17.926,0.0,Delivery,1.316,Van,Depot,HH
0,PostNL,1,1.0_105,1.0_105_6,1.0_105_6_0,1508,1369,12,0.0363888888888888,13.834625671897372,18.995,0.0,Delivery,0.576,Van,Depot,HH
0,PostNL,1,1.0_105,1.0_105_7,1.0_105_7_0,1369,1370,32,0.0466666666666666,13.834625671897372,19.431,0.0,Delivery,0.382,Van,Depot,HH
0,PostNL,1,1.0_105,1.0_105_8,1.0_105_8_0,1370,2668,0,0.2902777777777778,13.834625671897372,20.544,0.0,Delivery,15.335,Van,Depot,HH
0,PostNL,1,1.0_106,1.0_106_0,1.0_106_0_0,2668,931,32,0.3494444444444444,1.7501443149449676,1.75,0.0,Delivery,14.248,Van,Depot,HH
0,PostNL,1,1.0_106,1.0_106_1,1.0_106_1_0,931,930,23,0.0444444444444444,1.7501443149449676,3.166,0.0,Delivery,0.527,Van,Depot,HH
0,PostNL,1,1.0_106,1.0_106_2,1.0_106_2_0,930,926,33,0.0575,1.7501443149449676,3.977,0.0,Delivery,0.85,Van,Depot,HH
0,PostNL,1,1.0_106,1.0_106_3,1.0_106_3_0,926,927,7,0.0375,1.7501443149449676,5.135,0.0,Delivery,0.669,Van,Depot,HH
0,PostNL,1,1.0_106,1.0_106_4,1.0_106_4_0,927,925,31,0.0666666666666666,1.7501443149449676,5.406,0.0,Delivery,0.935,Van,Depot,HH
0,PostNL,1,1.0_106,1.0_106_5,1.0_106_5_0,925,882,14,0.0522222222222222,1.7501443149449676,6.506,0.0,Delivery,1.144,Van,Depot,HH
0,PostNL,1,1.0_106,1.0_106_6,1.0_106_6_0,882,883,5,0.05,1.7501443149449676,7.025,0.0,Delivery,0.604,Van,Depot,HH
0,PostNL,1,1.0_106,1.0_106_7,1.0_106_7_0,883,924,35,0.0616666666666666,1.7501443149449676,7.241,0.0,Delivery,1.23,Van,Depot,HH
0,PostNL,1,1.0_106,1.0_106_8,1.0_106_8_0,924,2668,0,0.3430555555555555,1.7501443149449676,8.47,0.0,Delivery,13.392,Van,Depot,HH
0,PostNL,1,1.0_107,1.0_107_0,1.0_107_0_0,2668,14,25,0.3161111111111111,22.74816565437984,22.748,0.0,Delivery,16.178,Van,Depot,HH
0,PostNL,1,1.0_107,1.0_107_1,1.0_107_1_0,14,7,24,0.0755555555555555,22.74816565437984,23.898,0.0,Delivery,1.005,Van,Depot,HH
0,PostNL,1,1.0_107,1.0_107_2,1.0_107_2_0,7,9,22,0.0558333333333333,22.74816565437984,24.773,0.0,Delivery,0.53,Van,Depot,HH
0,PostNL,1,1.0_107,1.0_107_3,1.0_107_3_0,9,5,22,0.0433333333333333,22.74816565437984,25.562,0.0,Delivery,1.015,Van,Depot,HH
0,PostNL,1,1.0_107,1.0_107_4,1.0_107_4_0,5,4,13,0.0277777777777777,22.74816565437984,26.339,0.0,Delivery,0.293,Van,Depot,HH
0,PostNL,1,1.0_107,1.0_107_5,1.0_107_5_0,4,3,15,0.0236111111111111,22.74816565437984,26.8,0.0,Delivery,0.531,Van,Depot,HH
