ZONE,LS0,LS1,LS2,LS3,LS4,LS5,LS6,LS7,TOT_WEIGHT
333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5
335,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,4.5
336,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0
337,0.0,1.5,0.0,8.0,0.0,0.0,0.0,0.0,9.5
338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
340,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5
341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0
343,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,4.5
344,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,3.0
345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
